booking_id,date,time,city,pickup_location,drop_location,vehicle_type,ride_distance,booking_value,driver_rating,customer_rating,payment_method,wait_time,booking_status,cancelled_by_customer,cancelled_by_driver,customer_cancel_reason,driver_cancel_reason,booking_datetime,is_cancelled,is_completed,hour,day_of_week,is_weekend,is_peak_hour,fare_per_km
1,2024-01-01,00:00:00,Delhi,Residential,University,Mini,9.26,202.32,4.41,3.65,Card,1.93,Cancelled,0,1,Customer changed plans,Driver not moving,2024-01-01 00:00:00,1,0,0,0,0,0,21.848812095032397
2,2024-01-01,00:20:00,Delhi,Hospital,Railway Station,Prime Sedan,12.36,248.69,4.12,4.57,UPI,7.51,Cancelled,1,0,Driver asked to cancel,Customer changed plans,2024-01-01 00:20:00,1,0,0,0,0,0,20.1205501618123
3,2024-01-01,00:40:00,Mumbai,Airport,Market,Auto,8.19,187.32,4.63,4.08,Wallet,5.9,Cancelled,0,0,Customer changed plans,Long wait time,2024-01-01 00:40:00,1,0,0,0,0,0,22.871794871794872
4,2024-01-01,01:00:00,Pune,Railway Station,University,Mini,7.38,180.44,4.45,2.93,UPI,1.0,Completed,0,0,,,2024-01-01 01:00:00,0,1,1,0,0,0,24.44986449864499
5,2024-01-01,01:20:00,Mumbai,Market,Market,Auto,13.38,271.97,4.4,3.71,Cash,4.62,Cancelled,0,1,Driver not moving,Driver asked to cancel,2024-01-01 01:20:00,1,0,1,0,0,0,20.32660687593423
6,2024-01-01,01:40:00,Hyderabad,Tech Park,Airport,Auto,7.83,175.64,4.62,4.08,Cash,6.02,Completed,0,0,,,2024-01-01 01:40:00,0,1,1,0,0,0,22.431673052362704
7,2024-01-01,02:00:00,Chennai,University,Tech Park,Mini,10.32,252.56,4.54,5.0,Wallet,8.0,Completed,0,0,,,2024-01-01 02:00:00,0,1,2,0,0,0,24.472868217054263
8,2024-01-01,02:20:00,Mumbai,University,Residential,Bike,9.67,208.3,4.14,4.57,UPI,2.28,Cancelled,1,0,Driver not moving,Driver asked to cancel,2024-01-01 02:20:00,1,0,2,0,0,0,21.540847983453983
9,2024-01-01,02:40:00,Mumbai,Airport,Hospital,Auto,13.37,279.2,4.06,3.55,UPI,6.15,Cancelled,0,1,Driver asked to cancel,High fare,2024-01-01 02:40:00,1,0,2,0,0,0,20.88257292445774
10,2024-01-01,03:00:00,Chennai,Airport,Hospital,Auto,6.5,175.17,4.81,3.93,Card,1.87,Cancelled,0,0,Long wait time,Customer changed plans,2024-01-01 03:00:00,1,0,3,0,0,0,26.949230769230766
11,2024-01-01,03:20:00,Mumbai,Airport,Railway Station,Auto,16.34,416.07,5.0,4.9,Card,7.12,Cancelled,0,1,Long wait time,Customer changed plans,2024-01-01 03:20:00,1,0,3,0,0,0,25.46328029375765
12,2024-01-01,03:40:00,Chennai,Market,University,Auto,5.36,124.09,4.75,3.73,Wallet,4.5,Completed,0,0,,,2024-01-01 03:40:00,0,1,3,0,0,0,23.151119402985074
13,2024-01-01,04:00:00,Mumbai,Railway Station,University,Mini,10.77,219.36,4.74,4.57,Wallet,20.13,Completed,0,0,,,2024-01-01 04:00:00,0,1,4,0,0,0,20.367688022284124
14,2024-01-01,04:20:00,Delhi,Market,University,Mini,9.96,239.92,3.99,3.86,Wallet,2.68,Completed,0,0,,,2024-01-01 04:20:00,0,1,4,0,0,0,24.088353413654616
15,2024-01-01,04:40:00,Hyderabad,Hospital,Hospital,Mini,5.0,136.17,4.29,4.08,Cash,3.66,Completed,0,0,,,2024-01-01 04:40:00,0,1,4,0,0,0,27.233999999999998
