booking_id,date,time,city,pickup_location,drop_location,vehicle_type,ride_distance,booking_value,driver_rating,customer_rating,payment_method,wait_time,booking_status,cancelled_by_customer,cancelled_by_driver,customer_cancel_reason,driver_cancel_reason,booking_datetime,is_cancelled,is_completed,hour,day_of_week,is_weekend,is_peak_hour,fare_per_km,segment_bookings,segment_avg_wait,segment_avg_fare,segment_avg_distance,city_bookings,city_avg_fare,distance_bucket,fare_bucket
1,2024-01-01,00:00:00,Delhi,Residential,University,Mini,9.26,202.32,4.41,3.65,Card,1.93,Cancelled,0,1,Customer changed plans,Driver not moving,2024-01-01 00:00:00,1,0,0,0,0,0,21.8488120950324,147,6.306394557823129,197.2825850340136,8.1078231292517,4181,205.5532791198278,long,high
2,2024-01-01,00:20:00,Delhi,Hospital,Railway Station,Prime Sedan,12.36,248.69,4.12,4.57,UPI,7.51,Cancelled,1,0,Driver asked to cancel,Customer changed plans,2024-01-01 00:20:00,1,0,0,0,0,0,20.1205501618123,113,6.713362831858407,207.77070796460177,8.988761061946903,4181,205.5532791198278,long,high
3,2024-01-01,00:40:00,Mumbai,Airport,Market,Auto,8.19,187.32,4.63,4.08,Wallet,5.9,Cancelled,0,0,Customer changed plans,Long wait time,2024-01-01 00:40:00,1,0,0,0,0,0,22.871794871794872,138,6.441666666666667,188.81898550724637,7.991956521739131,4150,204.35813493975903,long,high
4,2024-01-01,01:00:00,Pune,Railway Station,University,Mini,7.38,180.44,4.45,2.93,UPI,1.0,Completed,0,0,,,2024-01-01 01:00:00,0,1,1,0,0,0,24.44986449864499,129,5.579767441860465,215.80108527131782,9.42658914728682,4079,206.66771512625644,medium,mid
5,2024-01-01,01:20:00,Mumbai,Market,Market,Auto,13.38,271.97,4.4,3.71,Cash,4.62,Cancelled,0,1,Driver not moving,Driver asked to cancel,2024-01-01 01:20:00,1,0,1,0,0,0,20.32660687593423,128,6.759375,204.6196875,8.5609375,4150,204.35813493975903,long,premium
6,2024-01-01,01:40:00,Hyderabad,Tech Park,Airport,Auto,7.83,175.64,4.62,4.08,Cash,6.02,Completed,0,0,,,2024-01-01 01:40:00,0,1,1,0,0,0,22.431673052362704,113,6.072654867256637,217.22920353982303,9.156194690265487,4218,204.3446846846847,medium,mid
7,2024-01-01,02:00:00,Chennai,University,Tech Park,Mini,10.32,252.56,4.54,5.0,Wallet,8.0,Completed,0,0,,,2024-01-01 02:00:00,0,1,2,0,0,0,24.472868217054263,151,6.021986754966888,210.3647682119205,8.955033112582782,4155,204.11986762936223,long,high
8,2024-01-01,02:20:00,Mumbai,University,Residential,Bike,9.67,208.3,4.14,4.57,UPI,2.28,Cancelled,1,0,Driver not moving,Driver asked to cancel,2024-01-01 02:20:00,1,0,2,0,0,0,21.540847983453983,93,5.809139784946237,209.637311827957,9.251290322580646,4150,204.35813493975903,long,high
9,2024-01-01,02:40:00,Mumbai,Airport,Hospital,Auto,13.37,279.2,4.06,3.55,UPI,6.15,Cancelled,0,1,Driver asked to cancel,High fare,2024-01-01 02:40:00,1,0,2,0,0,0,20.88257292445774,138,6.441666666666667,188.81898550724637,7.991956521739131,4150,204.35813493975903,long,premium
10,2024-01-01,03:00:00,Chennai,Airport,Hospital,Auto,6.5,175.17,4.81,3.93,Card,1.87,Cancelled,0,0,Long wait time,Customer changed plans,2024-01-01 03:00:00,1,0,3,0,0,0,26.94923076923077,123,6.94089430894309,226.44926829268292,9.900650406504065,4155,204.11986762936223,medium,mid
