Booking ID,Date,Time,City,Pickup Location,Drop Location,Vehicle Type,Ride Distance,Booking Value,Driver Ratings,Customer Rating,Payment Method,Wait Time,Booking Status,Cancelled Rides by Customer,Cancelled Rides by Driver,Reason for cancelling by Customer,Reason for cancelling by Driver
1,2024-01-01,00:00:00,Delhi,Residential,University,Mini,9.26,202.32,4.41,3.65,Card,1.93,Cancelled,0,1,Customer changed plans,Driver not moving
2,2024-01-01,00:20:00,Delhi,Hospital,Railway Station,Prime Sedan,12.36,248.69,4.12,4.57,UPI,7.51,Cancelled,1,0,Driver asked to cancel,Customer changed plans
3,2024-01-01,00:40:00,Mumbai,Airport,Market,Auto,8.19,187.32,4.63,4.08,Wallet,5.9,Cancelled,0,0,Customer changed plans,Long wait time
4,2024-01-01,01:00:00,Pune,Railway Station,University,Mini,7.38,180.44,4.45,2.93,UPI,1.0,Completed,0,0,,
5,2024-01-01,01:20:00,Mumbai,Market,Market,Auto,13.38,271.97,4.4,3.71,Cash,4.62,Cancelled,0,1,Driver not moving,Driver asked to cancel
6,2024-01-01,01:40:00,Hyderabad,Tech Park,Airport,Auto,7.83,175.64,4.62,4.08,Cash,6.02,Completed,0,0,,
7,2024-01-01,02:00:00,Chennai,University,Tech Park,Mini,10.32,252.56,4.54,5.0,Wallet,8.0,Completed,0,0,,
8,2024-01-01,02:20:00,Mumbai,University,Residential,Bike,9.67,208.3,4.14,4.57,UPI,2.28,Cancelled,1,0,Driver not moving,Driver asked to cancel
9,2024-01-01,02:40:00,Mumbai,Airport,Hospital,Auto,13.37,279.2,4.06,3.55,UPI,6.15,Cancelled,0,1,Driver asked to cancel,High fare
10,2024-01-01,03:00:00,Chennai,Airport,Hospital,Auto,6.5,175.17,4.81,3.93,Card,1.87,Cancelled,0,0,Long wait time,Customer changed plans
11,2024-01-01,03:20:00,Mumbai,Airport,Railway Station,Auto,16.34,416.07,5.0,4.9,Card,7.12,Cancelled,0,1,Long wait time,Customer changed plans
12,2024-01-01,03:40:00,Chennai,Market,University,Auto,5.36,124.09,4.75,3.73,Wallet,4.5,Completed,0,0,,
13,2024-01-01,04:00:00,Mumbai,Railway Station,University,Mini,10.77,219.36,4.74,4.57,Wallet,20.13,Completed,0,0,,
14,2024-01-01,04:20:00,Delhi,Market,University,Mini,9.96,239.92,3.99,3.86,Wallet,2.68,Completed,0,0,,
15,2024-01-01,04:40:00,Hyderabad,Hospital,Hospital,Mini,5.0,136.17,4.29,4.08,Cash,3.66,Completed,0,0,,
16,2024-01-01,05:00:00,Pune,Market,Airport,Auto,11.36,228.74,4.24,3.44,UPI,1.0,Completed,0,0,,
17,2024-01-01,05:20:00,Bengaluru,Tech Park,Tech Park,Auto,6.86,209.03,4.23,4.12,Cash,5.29,Completed,0,0,,
18,2024-01-01,05:40:00,Delhi,Airport,Mall,Prime Sedan,3.81,119.45,4.06,4.11,Wallet,4.06,Completed,0,0,,
19,2024-01-01,06:00:00,Hyderabad,Hospital,Railway Station,Mini,12.31,232.94,4.47,4.08,Card,5.71,Completed,0,0,,
20,2024-01-01,06:20:00,Bengaluru,Railway Station,University,Bike,2.72,84.65,4.47,5.0,Cash,5.07,Cancelled,0,0,Long wait time,Customer changed plans
21,2024-01-01,06:40:00,Hyderabad,Airport,Market,Mini,4.39,122.84,4.03,4.63,Cash,20.38,Cancelled,1,1,Driver not moving,Long wait time
