hour,bookings,cancellation_rate,gross_booking_value,avg_wait_time
0,1044,0.4434865900383142,201979.44,6.4336494252873555
1,1044,0.4185823754789272,199163.97,6.434310344827586
2,1044,0.45977011494252873,210658.92,6.4959291187739465
3,1044,0.44731800766283525,207948.9,6.445862068965517
4,1044,0.42432950191570884,204718.81,6.628639846743295
5,1042,0.43570057581573896,203745.2,6.375499040307102
6,1041,0.44188280499519694,203063.12,6.315773294908742
7,1041,0.44188280499519694,207143.03,6.016964457252642
8,1041,0.6320845341018252,231551.83,6.384726224783861
9,1041,0.5725264169068204,238250.55,6.371950048030739
10,1041,0.6157540826128722,240863.74,6.609365994236311
11,1041,0.457252641690682,203660.17,6.530048030739673
12,1041,0.44284341978866476,209783.17,6.350931796349664
13,1041,0.4322766570605187,202261.71,6.145235350624399
14,1041,0.44284341978866476,202273.71,6.300518731988473
15,1041,0.44668587896253603,198840.46,6.470730067243036
16,1041,0.4495677233429395,196661.68,6.318194044188281
17,1041,0.4601344860710855,205953.77,6.481796349663785
18,1041,0.622478386167147,240038.46,6.270576368876081
19,1041,0.6263208453410183,243169.78,6.515792507204611
20,1041,0.6176753121998079,239292.44,6.391469740634006
21,1041,0.5936599423631124,243490.08,6.502286263208454
22,1041,0.43804034582132567,200726.22,6.420317002881845
23,1041,0.4399615754082613,197050.83,6.113294908741595
