booking_id,booking_datetime,city,pickup_location,drop_location,vehicle_type,payment_method,booking_status,is_cancelled,ride_distance,booking_value,driver_rating,customer_rating,wait_time,hour,day_of_week,is_weekend,is_peak_hour,fare_per_km,customer_cancel_reason,driver_cancel_reason
1,2024-01-01 00:00:00,Delhi,Residential,University,Mini,Card,Cancelled,1,9.26,202.32,4.41,3.65,1.93,0,0,0,0,21.8488120950324,Customer changed plans,Driver not moving
2,2024-01-01 00:20:00,Delhi,Hospital,Railway Station,Prime Sedan,UPI,Cancelled,1,12.36,248.69,4.12,4.57,7.51,0,0,0,0,20.1205501618123,Driver asked to cancel,Customer changed plans
3,2024-01-01 00:40:00,Mumbai,Airport,Market,Auto,Wallet,Cancelled,1,8.19,187.32,4.63,4.08,5.9,0,0,0,0,22.871794871794872,Customer changed plans,Long wait time
4,2024-01-01 01:00:00,Pune,Railway Station,University,Mini,UPI,Completed,0,7.38,180.44,4.45,2.93,1.0,1,0,0,0,24.44986449864499,,
5,2024-01-01 01:20:00,Mumbai,Market,Market,Auto,Cash,Cancelled,1,13.38,271.97,4.4,3.71,4.62,1,0,0,0,20.32660687593423,Driver not moving,Driver asked to cancel
6,2024-01-01 01:40:00,Hyderabad,Tech Park,Airport,Auto,Cash,Completed,0,7.83,175.64,4.62,4.08,6.02,1,0,0,0,22.431673052362704,,
7,2024-01-01 02:00:00,Chennai,University,Tech Park,Mini,Wallet,Completed,0,10.32,252.56,4.54,5.0,8.0,2,0,0,0,24.472868217054263,,
8,2024-01-01 02:20:00,Mumbai,University,Residential,Bike,UPI,Cancelled,1,9.67,208.3,4.14,4.57,2.28,2,0,0,0,21.540847983453983,Driver not moving,Driver asked to cancel
9,2024-01-01 02:40:00,Mumbai,Airport,Hospital,Auto,UPI,Cancelled,1,13.37,279.2,4.06,3.55,6.15,2,0,0,0,20.88257292445774,Driver asked to cancel,High fare
10,2024-01-01 03:00:00,Chennai,Airport,Hospital,Auto,Card,Cancelled,1,6.5,175.17,4.81,3.93,1.87,3,0,0,0,26.94923076923077,Long wait time,Customer changed plans
11,2024-01-01 03:20:00,Mumbai,Airport,Railway Station,Auto,Card,Cancelled,1,16.34,416.07,5.0,4.9,7.12,3,0,0,0,25.46328029375765,Long wait time,Customer changed plans
12,2024-01-01 03:40:00,Chennai,Market,University,Auto,Wallet,Completed,0,5.36,124.09,4.75,3.73,4.5,3,0,0,0,23.151119402985078,,
13,2024-01-01 04:00:00,Mumbai,Railway Station,University,Mini,Wallet,Completed,0,10.77,219.36,4.74,4.57,20.13,4,0,0,0,20.367688022284124,,
14,2024-01-01 04:20:00,Delhi,Market,University,Mini,Wallet,Completed,0,9.96,239.92,3.99,3.86,2.68,4,0,0,0,24.088353413654616,,
15,2024-01-01 04:40:00,Hyderabad,Hospital,Hospital,Mini,Cash,Completed,0,5.0,136.17,4.29,4.08,3.66,4,0,0,0,27.234,,
16,2024-01-01 05:00:00,Pune,Market,Airport,Auto,UPI,Completed,0,11.36,228.74,4.24,3.44,1.0,5,0,0,0,20.13556338028169,,
17,2024-01-01 05:20:00,Bengaluru,Tech Park,Tech Park,Auto,Cash,Completed,0,6.86,209.03,4.23,4.12,5.29,5,0,0,0,30.47084548104956,,
18,2024-01-01 05:40:00,Delhi,Airport,Mall,Prime Sedan,Wallet,Completed,0,3.81,119.45,4.06,4.11,4.06,5,0,0,0,31.35170603674541,,
19,2024-01-01 06:00:00,Hyderabad,Hospital,Railway Station,Mini,Card,Completed,0,12.31,232.94,4.47,4.08,5.71,6,0,0,0,18.92282696994313,,
20,2024-01-01 06:20:00,Bengaluru,Railway Station,University,Bike,Cash,Cancelled,1,2.72,84.65,4.47,5.0,5.07,6,0,0,0,31.121323529411764,Long wait time,Customer changed plans
21,2024-01-01 06:40:00,Hyderabad,Airport,Market,Mini,Cash,Cancelled,1,4.39,122.84,4.03,4.63,20.38,6,0,0,0,27.98177676537586,Driver not moving,Long wait time
22,2024-01-01 07:00:00,Hyderabad,Residential,Tech Park,SUV,Cash,Cancelled,1,8.12,192.32,4.09,3.86,7.62,7,0,0,0,23.68472906403941,Long wait time,Driver asked to cancel
23,2024-01-01 07:20:00,Mumbai,University,Railway Station,Bike,Wallet,Cancelled,1,13.31,262.57,4.42,3.81,9.5,7,0,0,0,19.727272727272727,High fare,Driver not moving
24,2024-01-01 07:40:00,Delhi,Tech Park,Railway Station,Auto,Cash,Cancelled,1,11.83,247.91,4.34,4.62,5.84,7,0,0,0,20.95604395604396,Driver not moving,Driver not moving
25,2024-01-01 08:00:00,Chennai,Airport,Railway Station,Bike,UPI,Cancelled,1,9.16,254.56,4.14,3.75,6.55,8,0,0,1,27.79039301310044,High fare,Long wait time
26,2024-01-01 08:20:00,Pune,Tech Park,Market,Mini,UPI,Cancelled,1,2.0,121.88,4.28,4.04,5.67,8,0,0,1,60.94,Driver not moving,High fare
27,2024-01-01 08:40:00,Delhi,Airport,Tech Park,SUV,Card,Completed,0,5.18,174.0,3.89,4.71,5.75,8,0,0,1,33.59073359073359,,
28,2024-01-01 09:00:00,Bengaluru,Market,Tech Park,Auto,Wallet,Cancelled,1,6.06,152.61,4.58,4.06,3.38,9,0,0,1,25.183168316831686,Customer changed plans,Driver asked to cancel
29,2024-01-01 09:20:00,Mumbai,Railway Station,Mall,Prime Sedan,Cash,Cancelled,1,3.66,154.27,4.21,3.94,9.33,9,0,0,1,42.15027322404372,Driver not moving,Driver asked to cancel
30,2024-01-01 09:40:00,Delhi,University,Market,SUV,Card,Completed,0,1.53,109.09,4.2,3.93,21.24,9,0,0,1,71.30065359477125,,
31,2024-01-01 10:00:00,Hyderabad,Tech Park,Airport,Auto,Card,Completed,0,8.39,262.44,4.52,3.85,5.83,10,0,0,1,31.280095351609056,,
32,2024-01-01 10:20:00,Delhi,Market,Residential,SUV,Cash,Cancelled,1,12.07,339.7,4.72,4.73,2.39,10,0,0,1,28.144159072079532,High fare,High fare
33,2024-01-01 10:40:00,Mumbai,Railway Station,Tech Park,Prime Sedan,UPI,Cancelled,1,5.72,155.78,4.35,4.33,10.88,10,0,0,1,27.234265734265737,Long wait time,Customer changed plans
34,2024-01-01 11:00:00,Pune,Airport,Tech Park,Mini,Wallet,Cancelled,1,13.21,326.52,4.13,4.12,15.61,11,0,0,0,24.717638152914457,Driver not moving,Driver asked to cancel
35,2024-01-01 11:20:00,Bengaluru,Residential,Residential,Bike,Cash,Completed,0,2.44,88.87,4.49,4.17,3.55,11,0,0,0,36.42213114754099,,
36,2024-01-01 11:40:00,Pune,Mall,Railway Station,Mini,Wallet,Completed,0,3.48,97.75,4.37,4.57,1.92,11,0,0,0,28.08908045977012,,
37,2024-01-01 12:00:00,Chennai,Airport,Mall,Bike,Wallet,Cancelled,1,8.27,198.43,4.46,4.02,8.64,12,0,0,0,23.993954050785977,Driver not moving,High fare
38,2024-01-01 12:20:00,Chennai,Hospital,University,Bike,Cash,Completed,0,5.37,127.42,4.63,4.25,5.97,12,0,0,0,23.728119180633147,,
39,2024-01-01 12:40:00,Hyderabad,Market,Market,Prime Sedan,Wallet,Cancelled,1,11.43,226.43,4.29,3.83,8.08,12,0,0,0,19.81014873140857,Customer changed plans,Driver asked to cancel
40,2024-01-01 13:00:00,Mumbai,Hospital,Market,Prime Sedan,Cash,Cancelled,1,10.25,207.97,4.71,4.95,5.5,13,0,0,0,20.28975609756097,Customer changed plans,Customer changed plans
41,2024-01-01 13:20:00,Chennai,Railway Station,Railway Station,SUV,UPI,Completed,0,5.65,148.85,4.15,4.44,4.63,13,0,0,0,26.34513274336283,,
42,2024-01-01 13:40:00,Pune,Residential,Hospital,Auto,Wallet,Cancelled,1,2.65,92.15,4.11,3.67,2.54,13,0,0,0,34.77358490566038,Driver asked to cancel,Driver asked to cancel
43,2024-01-01 14:00:00,Mumbai,Airport,Tech Park,Mini,UPI,Cancelled,1,5.18,149.69,4.66,3.99,7.34,14,0,0,0,28.8976833976834,High fare,Driver asked to cancel
44,2024-01-01 14:20:00,Chennai,University,University,Mini,Card,Completed,0,10.41,269.24,4.5,3.96,1.65,14,0,0,0,25.86359269932757,,
45,2024-01-01 14:40:00,Bengaluru,Hospital,Market,Auto,Wallet,Cancelled,1,11.73,261.11,4.29,4.16,9.3,14,0,0,0,22.26001705029838,Driver not moving,Long wait time
46,2024-01-01 15:00:00,Mumbai,University,Tech Park,Prime Sedan,Card,Cancelled,1,5.38,154.43,4.34,5.0,8.87,15,0,0,0,28.704460966542754,Long wait time,Driver not moving
47,2024-01-01 15:20:00,Pune,University,Market,Mini,Cash,Completed,0,1.52,71.59,4.25,4.04,7.13,15,0,0,0,47.09868421052632,,
48,2024-01-01 15:40:00,Delhi,University,University,Mini,Cash,Completed,0,2.32,80.33,4.28,4.16,12.82,15,0,0,0,34.625,,
49,2024-01-01 16:00:00,Chennai,Airport,Railway Station,Bike,Cash,Cancelled,1,9.87,213.94,3.92,3.91,4.3,16,0,0,0,21.675785207700105,Driver not moving,High fare
50,2024-01-01 16:20:00,Bengaluru,Tech Park,University,Mini,UPI,Cancelled,1,5.58,145.52,4.08,4.31,4.18,16,0,0,0,26.078853046594983,High fare,High fare
51,2024-01-01 16:40:00,Pune,Residential,Market,Mini,Cash,Cancelled,1,5.68,167.4,4.3,3.93,3.93,16,0,0,0,29.471830985915496,High fare,Driver asked to cancel
52,2024-01-01 17:00:00,Delhi,Airport,Railway Station,Mini,Cash,Completed,0,3.44,95.1,3.8,3.9,6.19,17,0,0,1,27.6453488372093,,
53,2024-01-01 17:20:00,Hyderabad,Hospital,University,Bike,Wallet,Completed,0,3.39,101.44,3.59,4.02,4.94,17,0,0,1,29.92330383480826,,
54,2024-01-01 17:40:00,Mumbai,University,Residential,Mini,Cash,Cancelled,1,13.06,274.89,3.79,4.28,3.82,17,0,0,1,21.04823889739663,High fare,Driver not moving
55,2024-01-01 18:00:00,Delhi,Railway Station,Mall,Mini,Wallet,Cancelled,1,10.1,273.77,4.76,4.16,4.09,18,0,0,1,27.105940594059405,Driver asked to cancel,High fare
56,2024-01-01 18:20:00,Chennai,Airport,Residential,Auto,Card,Completed,0,4.67,161.63,5.0,4.22,6.9,18,0,0,1,34.610278372591004,,
57,2024-01-01 18:40:00,Hyderabad,Market,Tech Park,Auto,Cash,Completed,0,7.87,216.39,4.45,4.62,11.97,18,0,0,1,27.495552731893262,,
58,2024-01-01 19:00:00,Hyderabad,Market,Railway Station,Prime Sedan,Card,Cancelled,1,8.81,201.06,4.29,3.68,3.31,19,0,0,1,22.82179341657208,High fare,Customer changed plans
59,2024-01-01 19:20:00,Chennai,Mall,University,Mini,UPI,Completed,0,20.09,387.44,4.75,4.31,1.0,19,0,0,1,19.285216525634645,,
60,2024-01-01 19:40:00,Hyderabad,Hospital,Hospital,Prime Sedan,UPI,Completed,0,3.15,158.02,3.97,4.76,8.5,19,0,0,1,50.16507936507937,,
61,2024-01-01 20:00:00,Mumbai,Market,Residential,Bike,Wallet,Cancelled,1,8.73,225.68,4.46,4.74,2.4,20,0,0,1,25.851088201603662,Customer changed plans,Customer changed plans
62,2024-01-01 20:20:00,Mumbai,Residential,Residential,Bike,Wallet,Cancelled,1,13.02,357.09,4.46,4.31,11.95,20,0,0,1,27.42626728110599,Long wait time,Driver not moving
63,2024-01-01 20:40:00,Delhi,Railway Station,University,SUV,Wallet,Cancelled,1,18.66,408.06,4.26,4.53,9.54,20,0,0,1,21.868167202572348,Customer changed plans,High fare
64,2024-01-01 21:00:00,Bengaluru,Hospital,University,SUV,UPI,Cancelled,1,4.49,136.27,3.7,4.8,10.14,21,0,0,1,30.34966592427617,High fare,Customer changed plans
65,2024-01-01 21:20:00,Chennai,Airport,Market,Mini,Cash,Completed,0,5.53,195.62,4.74,3.89,5.7,21,0,0,1,35.374321880651,,
66,2024-01-01 21:40:00,Delhi,Mall,University,Auto,Cash,Completed,0,11.5,304.64,4.15,4.07,11.53,21,0,0,1,26.49043478260869,,
67,2024-01-01 22:00:00,Chennai,Railway Station,Airport,Auto,Cash,Completed,0,1.97,78.25,4.1,3.98,7.28,22,0,0,0,39.72081218274112,,
68,2024-01-01 22:20:00,Bengaluru,Railway Station,Mall,Prime Sedan,Card,Completed,0,9.31,173.19,3.82,4.14,6.86,22,0,0,0,18.602577873254564,,
69,2024-01-01 22:40:00,Pune,Railway Station,Residential,Prime Sedan,Card,Cancelled,1,24.56,487.4,4.56,3.86,6.04,22,0,0,0,19.84527687296417,Driver not moving,Driver not moving
70,2024-01-01 23:00:00,Chennai,Airport,Market,SUV,Wallet,Completed,0,9.97,251.43,4.48,4.04,7.85,23,0,0,0,25.21865596790371,,
71,2024-01-01 23:20:00,Bengaluru,Residential,Market,Bike,Card,Completed,0,0.82,61.68,4.54,4.48,1.39,23,0,0,0,75.21951219512195,,
72,2024-01-01 23:40:00,Pune,Mall,Tech Park,Auto,UPI,Completed,0,3.85,112.91,4.19,4.07,3.79,23,0,0,0,29.327272727272724,,
73,2024-01-02 00:00:00,Chennai,University,Railway Station,Bike,Card,Completed,0,4.6,136.71,4.24,4.31,3.79,0,1,0,0,29.71956521739131,,
74,2024-01-02 00:20:00,Mumbai,Residential,Market,Prime Sedan,Cash,Cancelled,1,14.94,274.34,4.1,3.9,5.06,0,1,0,0,18.362784471218205,Customer changed plans,Driver not moving
75,2024-01-02 00:40:00,Bengaluru,Residential,Residential,Mini,Wallet,Completed,0,6.63,173.77,4.43,4.6,2.29,0,1,0,0,26.20965309200604,,
76,2024-01-02 01:00:00,Pune,University,Railway Station,Prime Sedan,Card,Completed,0,1.54,73.02,4.34,3.55,3.18,1,1,0,0,47.41558441558441,,
