city,vehicle_type,distance_bucket,bookings,cancellation_rate,avg_booking_value,avg_wait_time
Delhi,Auto,very_long,114,0.8070175438596491,407.64912280701753,6.052543859649123
Pune,Bike,very_long,116,0.7586206896551724,397.1862068965517,5.867327586206897
Mumbai,SUV,very_long,69,0.7536231884057971,397.76463768115946,6.693188405797101
Bengaluru,Bike,very_long,125,0.744,390.02288,7.457199999999999
Bengaluru,Prime Sedan,very_long,101,0.7425742574257426,401.170099009901,6.345247524752475
Hyderabad,Mini,very_long,163,0.7300613496932515,408.79650306748465,6.3413496932515345
Hyderabad,Auto,very_long,149,0.7248322147651006,384.2591946308725,6.418791946308724
Delhi,SUV,very_long,58,0.7241379310344828,410.14482758620693,5.978793103448275
Pune,Prime Sedan,very_long,108,0.7222222222222222,404.16555555555556,6.832407407407407
Pune,Auto,very_long,144,0.7222222222222222,408.71451388888886,6.454166666666667
Hyderabad,Prime Sedan,very_long,101,0.7128712871287128,405.41,6.057920792079208
Delhi,Mini,very_long,175,0.7085714285714285,402.8051428571428,6.198914285714285
Chennai,Mini,very_long,181,0.7071823204419889,398.5717127071823,6.853259668508287
Chennai,Bike,very_long,91,0.7032967032967034,408.88989010989013,6.085054945054945
Hyderabad,SUV,very_long,43,0.6976744186046512,408.7446511627907,9.163023255813954
Mumbai,Mini,very_long,160,0.69375,421.121,5.968500000000001
Pune,Prime Sedan,long,225,0.6933333333333334,246.46133333333336,6.381955555555556
Chennai,SUV,very_long,42,0.6904761904761905,389.2864285714286,6.284285714285714
Mumbai,Auto,very_long,126,0.6904761904761905,391.12912698412697,6.7335714285714285
Bengaluru,Prime Sedan,long,255,0.6901960784313725,241.91015686274508,6.3323921568627455
Delhi,Mini,long,386,0.6839378238341969,242.65435233160622,6.1029533678756485
Pune,SUV,long,126,0.6825396825396826,244.64825396825398,5.717460317460318
Hyderabad,Bike,very_long,100,0.68,394.56800000000004,5.5345
Chennai,SUV,long,139,0.6762589928057554,234.15992805755394,6.589496402877698
Chennai,Auto,very_long,142,0.676056338028169,390.9581690140845,5.825422535211268
Chennai,Prime Sedan,very_long,103,0.6699029126213593,374.5081553398058,6.024757281553398
Mumbai,Prime Sedan,long,256,0.66796875,237.0487109375,6.4539453125
Mumbai,Prime Sedan,very_long,108,0.6666666666666666,393.294537037037,6.037870370370371
Delhi,Bike,long,255,0.6627450980392157,241.42180392156862,6.6911764705882355
Bengaluru,Auto,very_long,158,0.6582278481012658,394.6256962025316,6.396962025316456
Hyderabad,SUV,long,143,0.6573426573426573,240.95706293706294,6.238741258741259
Mumbai,Mini,long,390,0.6564102564102564,238.3764358974359,6.2563589743589745
Pune,Mini,very_long,160,0.65625,397.1443125,6.2955625
Pune,Auto,long,317,0.6561514195583596,237.07990536277603,6.22608832807571
Bengaluru,Mini,very_long,176,0.6534090909090909,400.7821590909091,6.824090909090909
Hyderabad,Auto,long,340,0.6529411764705882,243.0388529411765,6.367970588235295
Delhi,Prime Sedan,long,236,0.652542372881356,238.7539406779661,6.66093220338983
Bengaluru,SUV,long,118,0.652542372881356,242.32338983050846,6.592627118644067
Mumbai,Bike,long,243,0.6460905349794238,244.3175720164609,6.366502057613168
Delhi,Prime Sedan,very_long,104,0.6442307692307693,381.16971153846157,5.720576923076924
Chennai,Mini,long,387,0.6434108527131783,242.40736434108527,6.596020671834625
Bengaluru,Auto,long,330,0.6424242424242425,239.67966666666663,6.678030303030303
Bengaluru,SUV,very_long,53,0.6415094339622641,411.6505660377358,7.1366037735849055
Chennai,Prime Sedan,long,238,0.6386554621848739,243.82403361344538,6.683361344537815
Mumbai,SUV,long,124,0.6370967741935484,230.63870967741937,5.906935483870968
Hyderabad,Mini,long,380,0.6368421052631579,246.7391842105263,6.479184210526316
Delhi,Bike,very_long,147,0.6326530612244898,411.0727210884354,6.500136054421769
Chennai,Auto,long,332,0.6295180722891566,242.74027108433737,6.070813253012048
Bengaluru,Mini,long,397,0.6272040302267002,240.1865743073048,6.093551637279597
Pune,SUV,very_long,64,0.625,397.5475,6.7065624999999995
Hyderabad,Bike,long,259,0.6216216216216216,236.6426640926641,6.245250965250965
Pune,Bike,long,277,0.6173285198555957,244.26328519855593,6.241877256317689
Chennai,Bike,long,269,0.6171003717472119,245.14208178438662,6.8464312267658
Bengaluru,Bike,long,283,0.607773851590106,238.48367491166078,6.3165371024734975
Mumbai,Bike,very_long,107,0.6074766355140186,402.1760747663551,6.941401869158879
Pune,Mini,long,336,0.6071428571428571,241.10148809523812,6.6986904761904755
Delhi,Auto,long,305,0.6065573770491803,241.61337704918034,6.665081967213115
Mumbai,Auto,long,321,0.6012461059190031,243.53744548286605,5.911526479750779
Hyderabad,Prime Sedan,long,276,0.5942028985507246,238.7432608695652,6.4675
Delhi,SUV,long,128,0.578125,240.236484375,6.170625
Bengaluru,Prime Sedan,medium,288,0.4618055555555556,148.13885416666665,6.058506944444444
Delhi,Prime Sedan,medium,299,0.451505016722408,150.9423745819398,6.4919732441471565
Bengaluru,SUV,medium,159,0.44025157232704404,150.27245283018868,5.658867924528302
Pune,Bike,medium,361,0.43490304709141275,148.47451523545706,6.721883656509695
Chennai,Auto,medium,389,0.43444730077120824,151.2023907455013,6.663367609254499
Hyderabad,SUV,medium,181,0.430939226519337,150.35994475138122,6.4013259668508296
Pune,SUV,medium,139,0.4244604316546763,152.1653237410072,6.496690647482014
Chennai,SUV,medium,165,0.42424242424242425,148.61957575757575,6.958242424242424
Bengaluru,Auto,medium,394,0.42385786802030456,150.17149746192894,6.326421319796955
Mumbai,Bike,medium,329,0.4194528875379939,149.27492401215804,6.616352583586627
Delhi,SUV,medium,182,0.4175824175824176,148.6815934065934,5.996428571428571
Hyderabad,Auto,medium,404,0.41336633663366334,149.2221287128713,6.349900990099011
Mumbai,Auto,medium,429,0.4125874125874126,146.49449883449884,6.228578088578089
Hyderabad,Mini,medium,453,0.4105960264900662,148.792119205298,6.29401766004415
Bengaluru,Mini,medium,485,0.41030927835051545,146.2100206185567,6.242
Mumbai,Prime Sedan,medium,303,0.40924092409240925,150.5547194719472,6.265214521452145
Hyderabad,Prime Sedan,medium,319,0.4043887147335423,148.71025078369905,6.563793103448275
