city,pickup_location,bookings,cancellations,cancellation_rate,gross_booking_value,avg_wait_time
Pune,Airport,487,274,0.5626283367556468,101969.03,6.277967145790554
Pune,Railway Station,462,258,0.5584415584415584,96181.04,6.138722943722944
Bengaluru,Railway Station,568,317,0.5580985915492958,117980.88,5.996091549295775
Chennai,Tech Park,502,277,0.5517928286852589,100497.28,6.460498007968128
Mumbai,Tech Park,534,293,0.548689138576779,107442.84,6.456535580524345
Hyderabad,Railway Station,508,278,0.547244094488189,103634.46,6.402972440944882
Chennai,Airport,559,303,0.5420393559928444,118631.48,6.749731663685152
Hyderabad,Airport,548,297,0.541970802919708,111010.54,6.790985401459854
Chennai,Railway Station,524,281,0.5362595419847328,107322.27,6.417977099236642
Hyderabad,Tech Park,512,273,0.533203125,108209.14,6.19619140625
Bengaluru,Tech Park,512,272,0.53125,106014.62,6.42359375
Bengaluru,Airport,500,264,0.528,105182.88,5.94628
Delhi,Railway Station,509,267,0.5245579567779961,103660.53,6.49212180746562
Mumbai,Railway Station,508,265,0.5216535433070866,105197.04,6.2648031496062995
Delhi,Tech Park,507,260,0.5128205128205128,101656.75,6.358007889546352
Pune,Tech Park,494,253,0.5121457489878543,103680.35,6.270323886639676
Delhi,Airport,520,266,0.5115384615384615,107111.32,6.127884615384615
Bengaluru,Mall,506,258,0.5098814229249012,103863.92,6.70596837944664
Mumbai,Airport,539,270,0.5009276437847866,104954.61,6.509165120593692
Chennai,Hospital,501,250,0.499001996007984,100818.69,6.961676646706588
Hyderabad,Residential,534,266,0.49812734082397003,108637.13,6.529737827715356
Mumbai,Market,514,254,0.49416342412451364,106962.58,6.617859922178988
Pune,Residential,506,249,0.49209486166007904,102079.37,6.109505928853754
Delhi,Hospital,566,276,0.4876325088339223,115817.6,6.2716961130742055
Bengaluru,Market,538,262,0.48698884758364314,111778.01,6.505520446096654
Pune,Mall,536,261,0.4869402985074627,111971.71,6.647518656716418
Delhi,Mall,502,243,0.48406374501992033,108699.61,6.225776892430279
Delhi,Market,543,260,0.47882136279926335,112320.47,6.041049723756906
Mumbai,Hospital,526,248,0.4714828897338403,109083.81,6.448326996197719
Mumbai,Residential,486,228,0.4691358024691358,99457.78,6.495164609053498
Delhi,University,534,249,0.46629213483146065,112959.29,6.517003745318352
Bengaluru,Residential,518,241,0.46525096525096526,106113.61,6.594073359073359
Bengaluru,University,547,254,0.4643510054844607,113506.82,6.302815356489945
Bengaluru,Hospital,528,243,0.4602272727272727,107303.19,6.553484848484849
Chennai,Mall,552,254,0.4601449275362319,111780.16,6.337826086956522
Hyderabad,University,546,251,0.4597069597069597,109665.42,6.19456043956044
Chennai,Residential,501,230,0.4590818363273453,104609.72,6.4966866267465075
Mumbai,University,540,247,0.45740740740740743,111547.12,5.893462962962962
Pune,Market,542,247,0.45571955719557194,111151.92,6.099686346863469
Hyderabad,Market,505,230,0.45544554455445546,102314.49,6.291346534653465
Hyderabad,Mall,506,230,0.45454545454545453,105627.17,6.466640316205534
Pune,Hospital,563,254,0.4511545293072824,118157.7,6.570870337477798
Pune,University,489,220,0.4498977505112474,97806.49,6.617361963190183
Chennai,Market,510,229,0.44901960784313727,102383.54,6.560960784313726
Hyderabad,Hospital,559,245,0.43828264758497315,112827.53,6.449731663685152
Mumbai,Mall,503,219,0.43538767395626243,103440.48,6.097554671968191
Chennai,University,506,220,0.43478260869565216,102074.91,6.407924901185771
Delhi,Residential,500,208,0.416,97192.69,6.34962
